format,block,bits,target,seed,loss,baseline,ratio,predict_zero,r2,grad_survive
elementwise,1,10,grad,2,0.017453286796808243,0.017455827444791794,0.9998544527326713,25.280773162841797,0.9993096221114606,1.0
elementwise,1,10,grad,3,0.012325195595622063,0.012325681746006012,0.9999605579314826,16.42084312438965,0.999249417615024,1.0
elementwise,1,10,grad,4,0.02263202890753746,0.02263081818819046,1.0000534986997347,13.080814361572266,0.9982698302810546,1.0
elementwise,1,10,grad,5,0.013845909386873245,0.013845410197973251,1.0000360544680769,10.768573760986328,0.9987142299719359,1.0
elementwise,1,10,grad,6,0.009548447094857693,0.0095467958599329,1.0001729622115125,19.657512664794922,0.9995142596493422,1.0
elementwise,1,10,grad,7,0.012847530655562878,0.012847610749304295,0.9999937658648772,6.36583137512207,0.9979817984645695,1.0
elementwise,1,10,grad,8,0.018750598654150963,0.01875096559524536,0.9999804308160807,10.376636505126953,0.9981929984109122,1.0
elementwise,1,10,grad,9,0.009464781731367111,0.009464801289141178,0.9999979336307789,6.451923370361328,0.9985330294257917,1.0
elementwise,1,23,grad,0,0.013663075864315033,0.013663075864315033,1.0,8.965968132019043,0.9984761181767396,1.0
elementwise,1,23,grad,1,0.010934211313724518,0.010934211313724518,1.0,12.691564559936523,0.999138466241724,1.0
elementwise,1,23,grad,2,0.017455827444791794,0.017455827444791794,1.0,25.280773162841797,0.9993095216142183,1.0
elementwise,1,23,grad,3,0.012325681746006012,0.012325681746006012,1.0,16.42084312438965,0.9992493880093344,1.0
elementwise,1,23,grad,4,0.02263081818819046,0.02263081818819046,1.0,13.080814361572266,0.9982699228379333,1.0
elementwise,1,23,grad,5,0.013845410197973251,0.013845410197973251,1.0,10.768573760986328,0.998714276328019,1.0
elementwise,1,23,grad,6,0.0095467958599329,0.0095467958599329,1.0,19.657512664794922,0.9995143436495386,1.0
elementwise,1,23,grad,7,0.012847610749304295,0.012847610749304295,1.0,6.36583137512207,0.99798178588275,1.0
elementwise,1,23,grad,8,0.01875096559524536,0.01875096559524536,1.0,10.376636505126953,0.9981929630486738,1.0
elementwise,1,23,grad,9,0.009464801289141178,0.009464801289141178,1.0,6.451923370361328,0.9985330263944826,1.0
elementwise,1,1,grad_sr,0,0.013457732275128365,0.013663075864315033,0.9849709105602655,8.965968132019043,0.998499020732957,1.0
elementwise,1,1,grad_sr,1,0.010752695612609386,0.010934211313724518,0.9833992872547382,12.691564559936523,0.9991527683161655,1.0
elementwise,1,1,grad_sr,2,0.016917694360017776,0.017455827444791794,0.9691717229403194,25.280773162841797,0.999330807873199,1.0
elementwise,1,1,grad_sr,3,0.011815972626209259,0.012325681746006012,0.9586465779094192,16.42084312438965,0.9992804283838106,1.0
elementwise,1,1,grad_sr,4,0.02237074449658394,0.02263081818819046,0.9885079854628395,13.080814361572266,0.9982898049098302,1.0
elementwise,1,1,grad_sr,5,0.013996930792927742,0.013845410197973251,1.0109437418457035,10.768573760986328,0.998700205700068,1.0
elementwise,1,1,grad_sr,6,0.009635530412197113,0.0095467958599329,1.0092946946353618,19.657512664794922,0.9995098296220634,1.0
elementwise,1,1,grad_sr,7,0.01288573071360588,0.012847610749304295,1.0029670858687598,6.36583137512207,0.9979757976681626,1.0
elementwise,1,1,grad_sr,8,0.01866489090025425,0.01875096559524536,0.9954095859995105,10.376636505126953,0.9982012580963945,1.0
elementwise,1,1,grad_sr,9,0.009431003592908382,0.009464801289141178,0.9964291171890136,6.451923370361328,0.9985382647853147,1.0
elementwise,1,2,grad_sr,0,0.013507112860679626,0.013663075864315033,0.9885850737283288,8.965968132019043,0.9984935131753989,1.0
elementwise,1,2,grad_sr,1,0.010876898653805256,0.010934211313724518,0.9947584093379169,12.691564559936523,0.9991429820490264,1.0
elementwise,1,2,grad_sr,2,0.017242535948753357,0.017455827444791794,0.9877810721540974,25.280773162841797,0.9993179585197933,1.0
elementwise,1,2,grad_sr,3,0.012199711054563522,0.012325681746006012,0.9897798195638705,16.42084312438965,0.9992570593993165,1.0
elementwise,1,2,grad_sr,4,0.02268824353814125,0.02263081818819046,1.0025374844812618,13.080814361572266,0.9982655327939831,1.0
elementwise,1,2,grad_sr,5,0.013920756988227367,0.013845410197973251,1.0054420049082509,10.768573760986328,0.9987072794134855,1.0
elementwise,1,2,grad_sr,6,0.009465958923101425,0.0095467958599329,0.9915325583559673,19.657512664794922,0.9995184559163451,1.0
