format,block,target,act_at,bits,seed,epoch,train_loss,train_acc,val_loss,val_acc,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive
elementwise,1,input,producer,1,0,11,0.02334031649502841,0.992890909090909,0.05398353189229965,0.9851999878883362,0.01785407029092312,0.010199999436736107,0.1901405155658722,0.18993651866912842,1.0
elementwise,1,input,producer,1,0,12,0.02230151589133523,0.992890909090909,0.04983548820018768,0.9855999946594238,0.003911443054676056,0.005799999926239252,0.09891676902770996,0.09848013520240784,1.0
elementwise,1,input,producer,1,1,1,0.23376486150568182,0.9288,0.10363657027482986,0.9697999954223633,0.06242677941918373,0.026999998837709427,0.4643271267414093,0.4643218219280243,1.0
elementwise,1,input,producer,1,1,2,0.07571911399147727,0.9769636363636364,0.07796987891197205,0.9781999588012695,0.0502927340567112,0.02019999921321869,0.39716866612434387,0.39716464281082153,1.0
elementwise,1,input,producer,1,1,3,0.05817128018465909,0.9817090909090909,0.06765617430210114,0.9793999791145325,0.028670433908700943,0.015599999576807022,0.3365285396575928,0.3365175724029541,1.0
elementwise,1,input,producer,1,1,4,0.04765874467329546,0.9848181818181818,0.06388671696186066,0.9809999465942383,0.026223469525575638,0.015599999576807022,0.34246107935905457,0.3424765169620514,1.0
elementwise,1,input,producer,1,1,5,0.04051427112926136,0.9877090909090909,0.05567513406276703,0.9842000007629395,0.027515608817338943,0.013799999840557575,0.283769428730011,0.28377842903137207,1.0
elementwise,1,input,producer,1,1,6,0.036590327592329545,0.9884909090909091,0.05033459514379501,0.9861999750137329,0.014633907936513424,0.008999999612569809,0.22438499331474304,0.22437983751296997,1.0
elementwise,1,input,producer,1,1,7,0.03277020596590909,0.9901272727272727,0.04586579650640488,0.9871999621391296,0.015960292890667915,0.009399999864399433,0.23397374153137207,0.233974426984787,1.0
elementwise,1,input,producer,1,1,8,0.029671586470170454,0.9907636363636364,0.050885625183582306,0.9860000014305115,0.026560332626104355,0.012399999424815178,0.25928381085395813,0.2593053877353668,1.0
elementwise,1,input,producer,1,1,9,0.027119158380681817,0.9914,0.06177835166454315,0.9829999804496765,0.02770625799894333,0.013199999928474426,0.22280967235565186,0.22281664609909058,1.0
elementwise,1,input,producer,1,1,10,0.025081096857244318,0.9920181818181818,0.04684353619813919,0.9883999824523926,0.022549521178007126,0.009399999864399433,0.18389388918876648,0.18387532234191895,1.0
elementwise,1,input,producer,1,1,11,0.022752805397727272,0.9928,0.052929479628801346,0.9842000007629395,0.019856402650475502,0.011799999512732029,0.17147882282733917,0.1714637130498886,1.0
elementwise,1,input,producer,1,1,12,0.020210675603693183,0.9937636363636364,0.05014145001769066,0.9853999614715576,0.0020422630477696657,0.003000000026077032,0.06275435537099838,0.0626656711101532,1.0
elementwise,1,input,producer,1,2,1,0.22402297585227274,0.9318545454545455,0.09141005575656891,0.9731999635696411,0.05372220277786255,0.022599998861551285,0.458403617143631,0.45838162302970886,1.0
elementwise,1,input,producer,1,2,2,0.07142951882102273,0.9775272727272727,0.06537330150604248,0.9819999933242798,0.028813716024160385,0.012999999336898327,0.3536013066768646,0.35353851318359375,1.0
elementwise,1,input,producer,1,2,3,0.054105544211647726,0.9835454545454545,0.07252252846956253,0.9779999852180481,0.04185608774423599,0.01679999940097332,0.3861781358718872,0.38621786236763,1.0
elementwise,1,input,producer,1,2,4,0.044157932350852275,0.9862,0.059567030519247055,0.9815999865531921,0.025134002789855003,0.012999999336898327,0.30993419885635376,0.30991795659065247,1.0
elementwise,1,input,producer,1,2,5,0.038441770241477276,0.987909090909091,0.0580725334584713,0.9839999675750732,0.02501717396080494,0.011399999260902405,0.288075715303421,0.288097620010376,1.0
elementwise,1,input,producer,1,2,6,0.03406125710227273,0.9891636363636364,0.056644946336746216,0.9851999878883362,0.019220571964979172,0.009200000204145908,0.24504293501377106,0.2449733465909958,1.0
elementwise,1,input,producer,1,2,7,0.029883877840909092,0.9904909090909091,0.05056088790297508,0.9878000020980835,0.013789789751172066,0.007199999876320362,0.19793163239955902,0.19788117706775665,1.0
elementwise,1,input,producer,1,2,8,0.027147984730113636,0.9914909090909091,0.047181516885757446,0.9873999953269958,0.011198896914720535,0.006799999624490738,0.18045514822006226,0.18038928508758545,1.0
elementwise,1,input,producer,1,2,9,0.024844537908380683,0.9924363636363637,0.043724507093429565,0.9889999628067017,0.010573454201221466,0.006799999624490738,0.17646059393882751,0.17644615471363068,1.0
