format,block,target,act_at,bits,seed,epoch,train_loss,train_acc,val_loss,val_acc,kl,disagree,logit_rel_err,logit_rel_err_c,upd_survive,grad_survive,grad_cos,epochs_to_90,epochs_to_95,epochs_to_98
elementwise,1,grad,producer,1,0,11,0.023758784623579547,0.9924181818181819,0.05348338186740875,0.9851999878883362,0.018856624141335487,0.008999999612569809,0.1813884973526001,0.180375337600708,1.0,1.0,0.9946316741233648,0.2,0.4,2.4
elementwise,1,grad,producer,1,0,12,0.02256066006747159,0.9928,0.04599158465862274,0.9869999885559082,0.0005243096384219825,0.001999999862164259,0.041159629821777344,0.0335799939930439,1.0,1.0,0.994654171965843,0.2,0.4,2.4
elementwise,1,grad,producer,1,1,1,0.23609572088068181,0.9282181818181818,0.10272578150033951,0.968999981880188,0.06276893615722656,0.02719999849796295,0.4655304551124573,0.4655132591724396,1.0,1.0,0.9946391970612282,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,2,0.07586898970170454,0.9765818181818182,0.0752437487244606,0.9781999588012695,0.051427196711301804,0.020399998873472214,0.40910330414772034,0.4090859889984131,1.0,1.0,0.9946188993232195,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,3,0.05861998845880682,0.9813818181818181,0.06898733973503113,0.9789999723434448,0.03294480964541435,0.01719999872148037,0.34005415439605713,0.3399467468261719,1.0,1.0,0.9946206736010175,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,4,0.047879820667613635,0.985,0.06359337270259857,0.9815999865531921,0.02714516781270504,0.0142000000923872,0.34692808985710144,0.34678414463996887,1.0,1.0,0.9946230866188227,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,5,0.04090002219460227,0.9871454545454545,0.05241301283240318,0.9855999946594238,0.026800487190485,0.012799999676644802,0.2892070710659027,0.28909358382225037,1.0,1.0,0.9946213123410247,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,6,0.03671000532670454,0.9883636363636363,0.05020654574036598,0.9860000014305115,0.01681223139166832,0.009599999524652958,0.23416534066200256,0.23390306532382965,1.0,1.0,0.9946327386900436,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,7,0.033015500710227276,0.9898545454545454,0.04644383117556572,0.9871999621391296,0.018168898299336433,0.009999999776482582,0.23852820694446564,0.2381507009267807,1.0,1.0,0.9946008726607921,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,8,0.029892695756392047,0.9907818181818182,0.05018807202577591,0.9851999878883362,0.02719247154891491,0.011799999512732029,0.26133936643600464,0.26086583733558655,1.0,1.0,0.994624506041061,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,9,0.02739642001065341,0.9912,0.06240092217922211,0.9829999804496765,0.02712678723037243,0.013399999588727951,0.2174154371023178,0.21690703928470612,1.0,1.0,0.9946290481922239,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,10,0.025422121360085228,0.9918545454545454,0.046123094856739044,0.9875999689102173,0.023699162527918816,0.009800000116229057,0.1875143200159073,0.18705692887306213,1.0,1.0,0.9946357904478561,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,11,0.02301087313565341,0.9926363636363637,0.05441572144627571,0.9853999614715576,0.02176854759454727,0.01119999960064888,0.18435700237751007,0.18382272124290466,1.0,1.0,0.9946224478788154,0.1,0.3,2.3
elementwise,1,grad,producer,1,1,12,0.02032948552911932,0.9939636363636364,0.05021284148097038,0.9865999817848206,0.000735861889552325,0.002199999988079071,0.04169807583093643,0.03896799683570862,1.0,1.0,0.9946527525436046,0.1,0.3,2.3
elementwise,1,grad,producer,1,2,1,0.22740621448863638,0.9310545454545455,0.08953271806240082,0.9751999974250793,0.05249180644750595,0.01979999989271164,0.45500344038009644,0.4549384117126465,1.0,1.0,0.9946165572765262,0.1,0.3,1.9
